twitter_id	cluster_id
682335463240142848	6043
682335466654334976	211
682335494315757573	10259
682335540776058881	3709
682335542869016577	211
682335590642155521	6117
682335608996380672	10259
682335641477058560	3709
682335677892067328	10699
682335681893384192	6640
682335685546672128	5048
682335688340058112	2108
682335694790856704	5048
682335717687599105	6640
682335751611105282	10259
682335757638352896	4435
682335785970892800	6640
682335806938193922	10259
682335866669285376	6640
682335892359401472	211
682335899007324160	4435
682335901272256513	10699
682335922126327808	6640
682335945127931904	3709
682335956821643264	4435
682336012496809984	5048
682336012870135808	1580
682336037184536576	8578
682336064535572481	3709
682336086484357120	5048
682336269456642049	5048
682336271025348610	211
682336308308529152	10259
682336333012971520	6117
682336343200890880	8578
682336347412013056	3709
682336350956204038	10259
682336356056481795	4825
682336382333759489	6640
682336399966666752	2322
682336410536296451	2322
682336415632367616	2322
682336424582971393	1580
682336444887609344	2361
682336448691834882	6640
682336453007769605	10259
682336516039774209	10259
682336635007025153	4435
682336638366646274	4435
682336643840262144	10259
682336650584707073	10259
682336653810118656	1580
682336654942547968	211
682336661439528962	2108
682336676463554560	10259
682336706574458880	6043
682336761603690496	8578
682336764887879681	4825
682336777525276672	8578
682336785595146242	8578
682336787495129092	8578
682336804578566145	6117
682336824086237184	5048
682336829496938496	6117
682336830247669760	10259
682336830688133124	3709
682336860081754113	6043
682336888816971777	6640
682336922161688583	3709
682336948195700741	3709
682336957817421824	8578
682336994224033793	10259
682337000171548672	211
682337002767831045	4435
682337012125286400	5048
682337026260119558	2108
682337066668015616	6043
682337070124150786	211
682337098544726016	8578
682337099605909505	6117
682337099740131328	10259
682337100809650181	8578
682337105196888064	3709
682337161106952198	9240
682337252756725765	6117
682337258465144835	3709
682337264915972105	3709
682337267176701952	6321
682337270116909056	8578
682337278065180673	2966
682337330460409858	10699
682337337674612736	6640
682337374269865984	4435
682337383379898368	6117
682337390539620352	3709
682337416816898049	3709
682337515982860288	211
682337518281293825	4435
682337524790865922	4435
682337596370882565	211
682337638326517760	9240
682337688112873472	4435
682337722715914244	4435
682337725320544262	211
682337763866218497	4435
682337774859456516	1580
682337794891489280	8578
682337821969874944	4435
682337831985913858	3709
682337861958418433	10259
682337869696876545	4435
682337880283287553	6117
682337887841468417	8578
682337890769108992	8578
682337892790738944	4435
682337920997441536	2966
682337965842931712	2108
682337988907409408	1580
682337997119819776	8578
682338024449916929	8578
682338096155734020	8578
682338116930174977	8578
682338179853074433	8578
682338187084103682	8578
682338253031116800	2322
682338253073068034	3709
682338293803962372	8578
682338301500522497	6043
682338317396885505	8578
682338361961394176	3709
682338370144477184	1580
682338386711953414	8578
682338423911231488	3709
682338573043933185	6043
682338579041792002	4435
682338619130920961	2322
682338623182602240	8578
682338625690812421	8578
682338628035457024	2361
682338652517576705	8578
682338680401313793	211
682338685031849984	10259
682338687900712961	10699
682338737146089476	6640
682338881929269249	3709
682338892591136768	6117
682338908235907072	6043
682338951336624128	8578
682338955853864960	1580
682338976120737793	8578
682339012099506176	4435
682339034954244096	5048
682339044701769728	211
682339065585205249	4825
682339127438643200	10259
682339143376973824	8578
682339187756933120	4825
682339199509331968	1580
682339240877805568	211
682339258590347265	2108
682339276055379969	1580
682339290739687424	10259
682339295940591617	2361
682339359182290946	9240
682339361128513536	9240
682339362843963393	9240
682339364769103877	9240
682339422285635584	1580
682339428241555456	6321
682339446486781952	8578
682339457152847872	5048
682339483254050818	1580
682339494704496650	10259
682339518440013826	4435
682339521912909824	6640
682339524224004096	4435
682339564342476800	4435
682339590431051776	10499
682339608483373056	4435
682339652271915010	8578
682339672886915072	8578
682339730868994051	8578
682339759474122752	8578
682339772258369536	211
682339790981730304	2361
682339794572054528	2322
682339796107169797	2966
682339875090116608	8578
682339930534621185	9240
682339933692952577	9240
682339948217802753	8578
682339959009771522	10259
682339963770286081	8578
682339993616973824	8578
682339998729768961	6117
682340012839407618	1580
682340049942269952	8578
682340126278565888	5048
682340133622812672	2966
682340213734023168	4435
682340218603610113	8578
682340233862463490	2322
682340257036029953	8578
682340331954671616	211
682340342092279809	10259
682340346781511680	1580
682340346995458050	3709
682340365362307072	3709
682340382261166081	8578
682340388493905920	8578
682340392994390016	8578
682340394722447360	211
682340410795003904	3709
682340418504134661	2108
682340460573007873	8578
682340483427794944	211
682340520048238592	2966
682340530206838784	2322
682340581226328065	8578
682340593326923776	211
682340643981529088	4435
682340743361372161	8578
682340771337392128	8578
682340783068852225	8578
682340783093972992	10259
682340872772403200	8578
682340877230985216	10259
682340888190652416	2966
682340905831895040	8578
682340974261977088	6640
682340975436410880	8578
682340982956756993	4825
682341002456121345	10259
682341008479129601	9240
682341013860388866	6321
682341046152368129	8578
682341071121072128	10259
682341091232722946	10699
682341091446620164	8578
682341121368801281	10259
682341138619973632	4825
682341142235492357	10259
682341152595394560	10259
682341155820851200	10259
682341165673271296	10259
682341173193641985	211
682341236158533634	5048
682341263731855361	5048
682341267510919170	8578
682341274188263428	2322
682341286607601664	8578
682341308527063041	1580
682341309407858688	8578
682341317456740352	3709
682341319050571776	211
682341328336781312	10259
682341330643595264	10259
682341350507823104	5048
682341449686360064	4435
682341452190384128	4435
682341469802205184	8578
682341495811121152	10259
682341527775875072	5048
682341572260712450	8578
682341586026381314	211
682341619173986305	3709
682341621036232704	8578
682341623578005504	6117
682341641730957312	211
682341693333483520	2108
682341705383718913	8578
682341754062819329	211
682341801957560321	2322
682341835792973824	8578
682341835851739138	1580
682341845788000258	10259
682341855674040320	4435
682341869028651008	8578
682341869443940352	4825
682341895473778689	3709
682341914792730626	8578
682341933901942785	8578
