IF;THEN;CONFIDENCE
[[npd]];[[afd]];0.662843097091356
[[schaff]];[[merkel]];0.6650591845681718
[[frau]];[[merkel]];0.6993676949607205
[[spiel]];[[bildung]];0.7921628889742605
[[spiel]];[[brief]];0.7921628889742605
[[spiel]];[[fur]];0.7921628889742605
[[spiel]];[[schul]];0.7921628889742605
[[spiel]];[[somm]];0.7921628889742605
[[spiel]];[[jung]];0.7933154053015751
[[spiel]];[[madch]];0.7940837495197849
[[spiel]];[[politik]];0.8006146753745678
[[jung]];[[bildung]];0.8060915324509648
[[jung]];[[politik]];0.8170945622707703
[[brief]];[[bildung]];0.8371904181892001
[[brief]];[[fur]];0.8371904181892001
[[brief]];[[madch]];0.8371904181892001
[[brief]];[[schul]];0.8371904181892001
[[brief]];[[somm]];0.8371904181892001
[[brief]];[[spiel]];0.8371904181892001
[[brief]];[[jung]];0.8392204628501827
[[schul]];[[brief]];0.8416326530612245
[[schul]];[[fur]];0.8416326530612245
[[schul]];[[somm]];0.8416326530612245
[[schul]];[[spiel]];0.8416326530612245
[[schul]];[[jung]];0.8424489795918367
[[schul]];[[madch]];0.8424489795918367
[[arzt]];[[https]];0.8442424242424242
[[kanzlerin]];[[merkel]];0.8444070647603028
[[arzt]];[[pegida]];0.8448484848484848
[[arzt]];[[weiterstadt]];0.8448484848484848
[[arzt]];[[vergewaltig]];0.8454545454545455
[[arzt]];[[migrant]];0.8478787878787879
[[schul]];[[bildung]];0.8481632653061224
[[treff]];[[bildung]];0.8514935988620199
[[treff]];[[jung]];0.8514935988620199
[[treff]];[[kapitel]];0.8514935988620199
[[treff]];[[nordamerika]];0.8514935988620199
[[treff]];[[europa]];0.851778093883357
[[treff]];[[mensch]];0.8526315789473684
[[brief]];[[politik]];0.8595209094600081
[[arzt]];[[fluchtling]];0.8606060606060606
[[schul]];[[politik]];0.8620408163265306
[[treff]];[[politik]];0.8665718349928876
[[arzt]];[[ingenieur]];0.8751515151515151
[[hock]];[[afd]];0.8835888699602499
[[madch]];[[bildung]];0.8838405486498071
[[madch]];[[brief]];0.8838405486498071
[[madch]];[[fur]];0.8838405486498071
[[madch]];[[schul]];0.8846978139734247
[[madch]];[[somm]];0.8859837119588513
[[madch]];[[spiel]];0.8859837119588513
[[madch]];[[politik]];0.8889841405915131
[[madch]];[[jung]];0.8984140591513073
[[bundeskanzlerin]];[[merkel]];0.9070063694267516
[[erfurt]];[[afd]];0.9075484764542936
[[friedensnobelpreis]];[[merkel]];0.9103660622647964
[[horst]];[[seehof]];0.9182746878547106
[[fur]];[[bildung]];0.9288288288288288
[[fur]];[[brief]];0.9288288288288288
[[fur]];[[jung]];0.9288288288288288
[[fur]];[[madch]];0.9288288288288288
[[fur]];[[schul]];0.9288288288288288
[[fur]];[[somm]];0.9288288288288288
[[fur]];[[spiel]];0.9288288288288288
[[fur]];[[politik]];0.9301801801801802
[[annewill]];[[merkel]];0.9367875647668393
[[ingenieur]];[[https]];0.9456890699253224
[[ingenieur]];[[migrant]];0.9463679565512559
[[ingenieur]];[[weiterstadt]];0.9463679565512559
[[vergewaltig]];[[migrant]];0.9470108695652174
[[vergewaltig]];[[weiterstadt]];0.9470108695652174
[[ingenieur]];[[pegida]];0.9470468431771895
[[ingenieur]];[[vergewaltig]];0.9470468431771895
[[vergewaltig]];[[arzt]];0.9476902173913043
[[vergewaltig]];[[https]];0.9476902173913043
[[vergewaltig]];[[ingenieur]];0.9476902173913043
[[vergewaltig]];[[pegida]];0.9483695652173914
[[bildung]];[[jung]];0.9494740796393689
[[ingenieur]];[[fluchtling]];0.9504412763068567
[[vergewaltig]];[[fluchtling]];0.9551630434782609
[[bildung]];[[politik]];0.9573628850488355
[[somm]];[[bildung]];0.9791073124406457
[[somm]];[[brief]];0.9791073124406457
[[somm]];[[fur]];0.9791073124406457
[[somm]];[[schul]];0.9791073124406457
[[somm]];[[spiel]];0.9791073124406457
[[angela]];[[merkel]];0.9802481640921752
[[ingenieur]];[[arzt]];0.9803122878479293
[[somm]];[[politik]];0.9805318138651472
[[somm]];[[madch]];0.9814814814814815
[[somm]];[[jung]];0.9829059829059829
[[kapitel]];[[bildung]];0.991716368455931
[[kapitel]];[[treff]];0.991716368455931
[[kapitel]];[[europa]];0.9920477137176938
[[kapitel]];[[jung]];0.9920477137176938
[[kapitel]];[[mensch]];0.9920477137176938
[[kapitel]];[[nordamerika]];0.9920477137176938
[[kapitel]];[[politik]];0.9920477137176938
[[weiterstadt]];[[https]];0.9971367215461704
[[weiterstadt]];[[pegida]];0.9971367215461704
[[weiterstadt]];[[arzt]];0.9978525411596277
[[weiterstadt]];[[fluchtling]];0.9978525411596277
[[weiterstadt]];[[ingenieur]];0.9978525411596277
[[weiterstadt]];[[migrant]];0.9978525411596277
[[weiterstadt]];[[vergewaltig]];0.9978525411596277
[[nordamerika]];[[bildung]];0.9996659986639946
[[nordamerika]];[[treff]];0.9996659986639946
[[nordamerika]];[[europa]];1.0
[[nordamerika]];[[jung]];1.0
[[nordamerika]];[[kapitel]];1.0
[[nordamerika]];[[mensch]];1.0
[[nordamerika]];[[politik]];1.0
[[csu,  spd]];[[cdu]];0.7222520107238606
[[fluchtling,  https]];[[arzt]];0.7554229934924078
[[fluchtling,  https]];[[ingenieur]];0.7554229934924078
[[fluchtling,  https]];[[weiterstadt]];0.7554229934924078
[[fluchtling,  https]];[[vergewaltig]];0.7565075921908894
[[https,  pegida]];[[arzt]];0.7653846153846153
[[https,  pegida]];[[ingenieur]];0.7653846153846153
[[https,  pegida]];[[migrant]];0.7653846153846153
[[https,  pegida]];[[vergewaltig]];0.7653846153846153
[[https,  pegida]];[[weiterstadt]];0.7653846153846153
[[fluchtling,  https]];[[migrant]];0.7695227765726681
[[fluchtling,  https]];[[pegida]];0.779826464208243
[[https,  pegida]];[[fluchtling]];0.7901098901098901
[[fluchtling,  migrant]];[[ingenieur]];0.796
[[fluchtling,  migrant]];[[vergewaltig]];0.796
[[fluchtling,  migrant]];[[weiterstadt]];0.796
[[fluchtling,  migrant]];[[arzt]];0.7971428571428572
[[fluchtling,  migrant]];[[pegida]];0.7971428571428572
[[fluchtling,  migrant]];[[https]];0.8108571428571428
[[europa,  politik]];[[bildung]];0.9237654320987654
[[europa,  politik]];[[treff]];0.9237654320987654
[[europa,  politik]];[[kapitel]];0.924074074074074
[[europa,  politik]];[[nordamerika]];0.924074074074074
[[europa,  politik]];[[jung]];0.9259259259259259
[[europa,  politik]];[[mensch]];0.9259259259259259
[[mensch,  politik]];[[treff]];0.9335620711166562
[[mensch,  politik]];[[bildung]];0.933873986275733
[[mensch,  politik]];[[kapitel]];0.933873986275733
[[mensch,  politik]];[[nordamerika]];0.933873986275733
[[mensch,  politik]];[[europa]];0.9357454772301934
[[mensch,  politik]];[[jung]];0.9357454772301934
[[europa,  mensch]];[[bildung]];0.962998712998713
[[europa,  mensch]];[[treff]];0.962998712998713
[[europa,  mensch]];[[jung]];0.9633204633204633
[[europa,  mensch]];[[kapitel]];0.9633204633204633
[[europa,  mensch]];[[nordamerika]];0.9633204633204633
[[arzt,  ingenieur]];[[https]];0.9646814404432132
[[arzt,  ingenieur]];[[pegida]];0.9646814404432132
[[europa,  mensch]];[[politik]];0.9652509652509652
[[arzt,  ingenieur]];[[fluchtling]];0.9653739612188366
[[arzt,  ingenieur]];[[migrant]];0.9653739612188366
[[arzt,  ingenieur]];[[weiterstadt]];0.9653739612188366
[[arzt,  ingenieur]];[[vergewaltig]];0.9660664819944599
[[https,  migrant]];[[arzt]];0.9707317073170731
[[https,  migrant]];[[ingenieur]];0.9707317073170731
[[https,  migrant]];[[pegida]];0.9707317073170731
[[https,  migrant]];[[vergewaltig]];0.9707317073170731
