IF;THEN;CONFIDENCE
frankfurt;deutschland,  eintracht;0.6593103448275862
frankfurt;eintracht;0.6593103448275862
frankfurt;eintracht,  ticket;0.6593103448275862
ticket;deutschland,  sportevent;0.6595437860513896
ticket;sportevent;0.6595437860513896
bvb;sportsevent;0.6615811373092927
bvb;deutschland,  sportsevent;0.6615811373092927
bvb;sportsevent,  ticket;0.6615811373092927
borussia;sportsevent;0.6648351648351648
borussia;deutschland,  sportsevent;0.6648351648351648
borussia;sportsevent,  ticket;0.6648351648351648
ticket;deutschland,  sportsevent;0.6678028316727844
ticket;sportsevent;0.6678028316727844
dortmund;borussia,  ticket;0.6827354260089686
angebot;newborn;0.6845555100368701
angebot;baby,  newborn;0.6845555100368701
angebot;deutschland,  newborn;0.6845555100368701
frankfurt;deutschland,  ticket;0.6882758620689655
frankfurt;ticket;0.6882758620689655
dortmund;borussia,  deutschland;0.6883408071748879
dortmund;borussia;0.6905829596412556
baby;angebot,  newborn;0.7215025906735751
baby;newborn;0.7215025906735751
baby;deutschland,  newborn;0.7215025906735751
eintracht;deutschland,  frankfurt;0.7623604465709729
eintracht;frankfurt;0.7623604465709729
eintracht;frankfurt,  ticket;0.7623604465709729
comics;eur;0.7928883343730505
comics;deutschland,  eur;0.7928883343730505
comics;eur,  marvel;0.7928883343730505
marvel;comics,  eur;0.7968652037617555
marvel;deutschland,  eur;0.7968652037617555
marvel;eur;0.7968652037617555
2015;deutschland;0.8012820512820513
stuttgart;deutschland,  ticket;0.8222222222222222
stuttgart;ticket;0.8222222222222222
munch;bay,  ticket;0.8263374485596707
munch;bay,  deutschland;0.8378600823045268
munch;bay;0.8436213991769548
munch;deutschland,  ticket;0.8588477366255144
munch;ticket;0.8592592592592593
nachricht;deutschland;0.863275781614559
bay;ticket;0.8717606198236708
bay;deutschland,  ticket;0.8717606198236708
top;deutschland,  ticket;0.8732919254658386
top;ticket;0.8732919254658386
eur;comics;0.8832522585128562
eur;comics,  deutschland;0.8832522585128562
eur;comics,  marvel;0.8832522585128562
eur;deutschland,  marvel;0.8832522585128562
eur;marvel;0.8832522585128562
frankfurt;deutschland;0.896551724137931
darmstadt;ticket;0.9247491638795987
darmstadt;deutschland,  ticket;0.9247491638795987
dortmund;deutschland,  ticket;0.9327354260089686
dortmund;ticket;0.9327354260089686
angebot;baby;0.9422367882015568
angebot;baby,  deutschland;0.9422367882015568
kart;deutschland,  ticket;0.9455676516329704
kart;ticket;0.9455676516329704
dortmund;deutschland;0.9573991031390134
naidoo;deutschland;0.9591836734693877
news;deutschland;0.9616204690831557
germany;deutschland;0.9633204633204633
bay;deutschland;0.9668714934544483
swr;deutschland;0.9672413793103448
gebot;comics;0.9696969696969697
gebot;comics,  deutschland;0.9696969696969697
gebot;comics,  eur;0.9696969696969697
gebot;comics,  marvel;0.9696969696969697
gebot;deutschland,  marvel;0.9696969696969697
gebot;eur,  marvel;0.9696969696969697
gebot;marvel;0.9696969696969697
vfb;deutschland,  ticket;0.9705882352941176
vfb;ticket;0.9705882352941176
bvb;ticket;0.9750346740638003
bvb;deutschland,  ticket;0.9750346740638003
werd;deutschland,  ticket;0.9774127310061602
werd;ticket;0.9774127310061602
gebot;deutschland,  eur;0.9777777777777777
gebot;eur;0.9777777777777777
parisattack;deutschland;0.9781879194630873
heut;deutschland;0.978448275862069
jahr;deutschland;0.9805996472663139
brem;deutschland;0.9809322033898306
schalk;deutschland,  ticket;0.9824
schalk;ticket;0.9824
neu;deutschland;0.9830827067669173
eur;deutschland;0.9833217512161223
eintracht;deutschland,  ticket;0.9840510366826156
eintracht;ticket;0.9840510366826156
hamburg;deutschland;0.9847198641765704
top;deutschland;0.9850931677018634
tag;deutschland;0.9862068965517241
bvb;deutschland;0.9875173370319001
hsv;deutschland,  ticket;0.9879275653923542
hsv;ticket;0.9879275653923542
munch;deutschland;0.9880658436213992
stuttgart;deutschland;0.9888888888888889
angebot;deutschland;0.9889389594428513
niederland;deutschland;0.9891540130151844
berlin;deutschland;0.9894202285230639
ganz;deutschland;0.9900662251655629
warum;deutschland;0.9912126537785588
mehr;deutschland;0.9912451361867705
darmstadt;deutschland;0.9916387959866221
kart;deutschland;0.9922239502332815
gross;deutschland;0.9924242424242424
borussia;ticket;0.9926739926739927
borussia;deutschland,  ticket;0.9926739926739927
baby;angebot;0.9930915371329879
baby;angebot,  deutschland;0.9930915371329879
fluchtlingskris;deutschland;0.9933333333333333
comics;marvel;0.9943855271366189
comics;deutschland,  marvel;0.9943855271366189
hannov;deutschland;0.994475138121547
gibt;deutschland;0.9950186799501868
schalk;deutschland;0.9952
baby;deutschland;0.9952504317789291
comics;deutschland;0.9956331877729258
gut;deutschland;0.9956427015250545
via;deutschland;0.9956597222222222
europa;deutschland;0.99568345323741
tech;deutschland;0.9957446808510638
gebot;deutschland;0.9959595959595959
