IF;THEN;CONFIDENCE
arabisch;deutsch,  refugeeswelcom;0.6560283687943262
refugeeswelcom;deutsch;0.6561576354679803
csu;amp;0.6572052401746725
arabisch;refugeeswelcom;0.6607565011820331
arabisch;asylverfahr;0.66548463356974
arabisch;asylverfahr,  deutsch;0.66548463356974
arabisch;amp;0.6713947990543735
politik;amp;0.6984126984126984
csu;cdu;0.6986899563318777
turkei;amp;0.7555555555555555
spd;amp;0.7562724014336918
cdupt15;merkelmussweg;0.7604395604395604
asylverfahr;amp,  htt;0.787701317715959
asylverfahr;arabisch,  htt;0.787701317715959
asylverfahr;htt;0.787701317715959
asylverfahr;bitt,  htt;0.787701317715959
asylverfahr;deutsch,  htt;0.787701317715959
asylverfahr;htt,  refugeeswelcom;0.787701317715959
asylverfahr;htt,  retweet;0.787701317715959
asylverfahr;htt,  skizziert;0.787701317715959
asylverfahr;htt,  weitergeb;0.787701317715959
asylverfahr;amp,  bitt;0.7891654465592972
asylverfahr;amp,  retweet;0.7891654465592972
asylverfahr;amp,  skizziert;0.7891654465592972
asylverfahr;amp,  weitergeb;0.7891654465592972
asylverfahr;arabisch,  bitt;0.7891654465592972
asylverfahr;arabisch,  retweet;0.7891654465592972
asylverfahr;arabisch,  skizziert;0.7891654465592972
asylverfahr;arabisch,  weitergeb;0.7891654465592972
asylverfahr;bitt;0.7891654465592972
asylverfahr;bitt,  deutsch;0.7891654465592972
asylverfahr;bitt,  refugeeswelcom;0.7891654465592972
asylverfahr;retweet;0.7891654465592972
asylverfahr;bitt,  retweet;0.7891654465592972
asylverfahr;deutsch,  retweet;0.7891654465592972
asylverfahr;refugeeswelcom,  retweet;0.7891654465592972
asylverfahr;bitt,  skizziert;0.7891654465592972
asylverfahr;deutsch,  skizziert;0.7891654465592972
asylverfahr;refugeeswelcom,  skizziert;0.7891654465592972
asylverfahr;retweet,  skizziert;0.7891654465592972
asylverfahr;weitergeb;0.7891654465592972
asylverfahr;bitt,  weitergeb;0.7891654465592972
asylverfahr;deutsch,  weitergeb;0.7891654465592972
asylverfahr;refugeeswelcom,  weitergeb;0.7891654465592972
asylverfahr;retweet,  weitergeb;0.7891654465592972
asylverfahr;skizziert,  weitergeb;0.7891654465592972
asylverfahr;amp,  arabisch;0.7906295754026355
asylverfahr;amp,  deutsch;0.7906295754026355
asylverfahr;amp,  refugeeswelcom;0.7906295754026355
asylverfahr;skizziert;0.7935578330893118
afd;amp;0.7935656836461126
asylverfahr;arabisch,  refugeeswelcom;0.7950219619326501
asylverfahr;refugeeswelcom;0.7950219619326501
asylverfahr;deutsch,  refugeeswelcom;0.7950219619326501
asylverfahr;amp;0.7979502196193266
arabisch;deutsch;0.8096926713947991
refugeeswelcom;amp;0.8226600985221675
asylverfahr;arabisch;0.8243045387994143
asylverfahr;arabisch,  deutsch;0.8243045387994143
asylverfahr;deutsch;0.828696925329429
ttip;amp,  spd;0.8397435897435898
ttip;ceta;0.8397435897435898
ttip;spd;0.8525641025641025
pegida;amp;0.870253164556962
ceta;ttip;0.8821548821548821
ttip;amp;0.9134615384615384
retweet;amp,  htt;0.9180887372013652
retweet;arabisch,  htt;0.9180887372013652
retweet;asylverfahr,  htt;0.9180887372013652
retweet;bitt,  htt;0.9180887372013652
retweet;deutsch,  htt;0.9180887372013652
retweet;htt;0.9180887372013652
retweet;htt,  refugeeswelcom;0.9180887372013652
retweet;htt,  skizziert;0.9180887372013652
retweet;htt,  weitergeb;0.9180887372013652
retweet;amp,  arabisch;0.9197952218430034
retweet;amp,  asylverfahr;0.9197952218430034
retweet;amp,  deutsch;0.9197952218430034
retweet;amp,  refugeeswelcom;0.9197952218430034
retweet;amp,  skizziert;0.9197952218430034
retweet;amp,  weitergeb;0.9197952218430034
retweet;arabisch;0.9197952218430034
retweet;arabisch,  asylverfahr;0.9197952218430034
retweet;arabisch,  bitt;0.9197952218430034
retweet;arabisch,  deutsch;0.9197952218430034
