IF;THEN;CONFIDENCE
ort;direkt,  helf;0.6508023590728295
ort;direkt,  spend;0.6508023590728295
ort;direkt,  syri;0.6509395144698944
ort;direkt;0.6510766698669592
via;syri;0.6536231884057971
fluchtling;helf,  ort;0.6593092172491314
fluchtling;ort,  spend;0.6593092172491314
fluchtling;ort,  syri;0.6595135908440629
fluchtling;spend,  syri;0.659922338033926
fluchtling;helf,  spend;0.6604332720212549
fluchtling;ort;0.662579194768036
fluchtling;helf,  syri;0.662987941957899
fluchtling;spend;0.6668710402615982
fluchtling;helf;0.6777028407929695
putin;syri;0.6919191919191919
amp;syri;0.6942094990240729
usa;syri;0.7038196618659988
krieg;syri;0.7086568322981367
mehr;syri;0.7163461538461539
soldat;syri;0.7241379310344828
terror;syri;0.7383845604002859
bomb;syri;0.7400820793433652
helf;fluchtling,  ort;0.7458097329788463
helf;fluchtling,  spend;0.7470812622818171
kampf;syri;0.7492447129909365
helf;fluchtling,  syri;0.7499711016067506
heut;syri;0.7555555555555555
isis;syri;0.7638190954773869
syrisch;syri;0.7645502645502645
helf;fluchtling;0.7666165761183679
deutsch;syri;0.7697628458498024
erst;syri;0.78125
lieb;dontbombsyria;0.7903281519861831
lieb;dontbombsyria,  fluchtling;0.7903281519861831
lieb;dontbombsyria,  helf;0.7903281519861831
lieb;dontbombsyria,  ort;0.7903281519861831
lieb;dontbombsyria,  spend;0.7903281519861831
lieb;dontbombsyria,  syri;0.7903281519861831
lieb;fluchtling,  ort;0.7903281519861831
lieb;fluchtling,  spend;0.7903281519861831
lieb;helf,  syri;0.7903281519861831
lieb;ort,  syri;0.7903281519861831
lieb;spend,  syri;0.7903281519861831
lieb;fluchtling,  helf;0.7906735751295336
schon;syri;0.7924242424242425
lieb;helf,  ort;0.7937823834196891
lieb;helf,  spend;0.7937823834196891
lieb;ort,  spend;0.7937823834196891
lieb;ort;0.7944732297063903
lieb;spend;0.7951640759930916
lieb;helf;0.7955094991364421
lieb;fluchtling,  syri;0.796545768566494
dash;syri;0.8029850746268656
russisch;syri;0.8061440677966102
lieb;fluchtling;0.8079447322970639
helf;ort,  syri;0.8132007860362964
helf;ort,  spend;0.8143567217662698
helf;spend,  syri;0.8144723153392671
helf;ort;0.8160906253612299
hilf;direkt,  fluchtling;0.8182778658214475
hilf;helf,  ort;0.8182778658214475
hilf;ort,  spend;0.8182778658214475
hilf;direkt,  helf;0.8188061278394083
hilf;direkt,  ort;0.8188061278394083
hilf;direkt,  spend;0.8188061278394083
hilf;fluchtling,  spend;0.8193343898573693
hilf;ort,  syri;0.8193343898573693
hilf;spend,  syri;0.8193343898573693
hilf;fluchtling,  helf;0.8198626518753301
hilf;helf,  spend;0.8198626518753301
hilf;direkt,  syri;0.8203909138932911
hilf;fluchtling,  ort;0.8203909138932911
hilf;spend;0.8203909138932911
hilf;direkt;0.820919175911252
hilf;helf,  syri;0.8214474379292129
hilf;ort;0.8225039619651348
helf;spend;0.8237198011790544
direkt;fluchtling,  helf;0.825302399365457
direkt;fluchtling,  ort;0.825302399365457
direkt;fluchtling,  spend;0.825302399365457
direkt;fluchtling,  syri;0.8258972833630776
hilf;fluchtling,  syri;0.8272583201267829
fluchtling;syri;0.8285305538524422
direkt;fluchtling;0.8286734086853064
hilf;helf;0.8298996302165874
helf;syri;0.8348167841867992
irak;syri;0.8430989583333334
sanktion;russland;0.8487282463186078
kriegseinsatz;syri;0.8488529014844804
bundeswehr;syri;0.850563544500583
hilf;fluchtling;0.8526148969889065
https;syri;0.8557386527898236
spend;fluchtling,  ort;0.858663827521959
spend;fluchtling,  syri;0.8594623369709875
spend;fluchtling,  helf;0.8601277615118446
lieb;syri;0.8663212435233161
spend;fluchtling;0.8685121107266436
ort;fluchtling,  helf;0.8849266218625703
ort;fluchtling,  spend;0.8849266218625703
ort;fluchtling,  syri;0.8852009326567001
einsatz;syri;0.8882870683818551
hilf;syri;0.8885367142102483
bundeswehreinsatz;syri;0.889018691588785
ort;fluchtling;0.8893155945686463
deutschland;syri;0.920677966101695
assad;syri;0.9277357192016518
spend;ort,  syri;0.936252328985893
spend;helf,  ort;0.9375831780676072
spend;helf,  syri;0.9377162629757786
spend;ort;0.9377162629757786
direkt;helf,  ort;0.9409081895697006
direkt;ort,  spend;0.9409081895697006
direkt;spend,  syri;0.9409081895697006
direkt;helf,  spend;0.9411064842355741
direkt;helf,  syri;0.9411064842355741
direkt;ort,  syri;0.9411064842355741
direkt;ort;0.9413047789014476
direkt;spend;0.9413047789014476
spend;syri;0.9423742347617781
spend;helf;0.9483630556294916
direkt;helf;0.9484433868728931
direkt;syri;0.9621257188181638
ort;helf,  syri;0.9648882183513922
ort;spend,  syri;0.9648882183513922
ort;helf,  spend;0.9662597723220409
ort;spend;0.9663969277191058
ort;helf;0.968317103278014
ort;syri;0.9701001234398574
givingtusday;direkt,  fluchtling;0.9738330975954739
givingtusday;fluchtling,  ort;0.9752475247524752
givingtusday;fluchtling;0.9759547383309759
givingtusday;fluchtling,  helf;0.9759547383309759
givingtusday;fluchtling,  spend;0.9759547383309759
givingtusday;fluchtling,  syri;0.9759547383309759
givingtusday;direkt;0.9809052333804809
givingtusday;direkt,  helf;0.9809052333804809
givingtusday;direkt,  ort;0.9809052333804809
givingtusday;direkt,  spend;0.9809052333804809
givingtusday;direkt,  syri;0.9809052333804809
givingtusday;ort;0.9823196605374823
givingtusday;helf,  ort;0.9823196605374823
givingtusday;ort,  spend;0.9823196605374823
givingtusday;ort,  syri;0.9823196605374823
givingtusday;helf;0.983026874115983
givingtusday;spend;0.983026874115983
givingtusday;helf,  spend;0.983026874115983
givingtusday;helf,  syri;0.983026874115983
givingtusday;spend,  syri;0.983026874115983
dontbombsyria;fluchtling;0.9904761904761905
dontbombsyria;fluchtling,  helf;0.9904761904761905
dontbombsyria;lieb;0.9904761904761905
dontbombsyria;fluchtling,  lieb;0.9904761904761905
dontbombsyria;helf,  lieb;0.9904761904761905
dontbombsyria;ort;0.9904761904761905
dontbombsyria;fluchtling,  ort;0.9904761904761905
dontbombsyria;helf,  ort;0.9904761904761905
dontbombsyria;lieb,  ort;0.9904761904761905
dontbombsyria;spend;0.9904761904761905
dontbombsyria;fluchtling,  spend;0.9904761904761905
dontbombsyria;helf,  spend;0.9904761904761905
dontbombsyria;lieb,  spend;0.9904761904761905
dontbombsyria;ort,  spend;0.9904761904761905
dontbombsyria;fluchtling,  syri;0.9904761904761905
dontbombsyria;lieb,  syri;0.9904761904761905
dontbombsyria;ort,  syri;0.9904761904761905
dontbombsyria;spend,  syri;0.9904761904761905
dontbombsyria;helf;0.990909090909091
dontbombsyria;helf,  syri;0.990909090909091
dontbombsyria;syri;0.9974025974025974
refugeeswelcom;direkt,  https;0.9983831851253031
refugeeswelcom;fluchtling,  https;0.9983831851253031
refugeeswelcom;helf,  https;0.9983831851253031
refugeeswelcom;https;0.9983831851253031
refugeeswelcom;https,  ort;0.9983831851253031
refugeeswelcom;https,  spend;0.9983831851253031
refugeeswelcom;https,  syri;0.9983831851253031
givingtusday;syri;0.9985855728429985
merkel;syri;0.9988636363636364
refugeeswelcom;direkt;0.9991915925626516
refugeeswelcom;direkt,  fluchtling;0.9991915925626516
refugeeswelcom;direkt,  helf;0.9991915925626516
refugeeswelcom;direkt,  ort;0.9991915925626516
refugeeswelcom;direkt,  spend;0.9991915925626516
refugeeswelcom;direkt,  syri;0.9991915925626516
refugeeswelcom;fluchtling;0.9991915925626516
refugeeswelcom;fluchtling,  helf;0.9991915925626516
refugeeswelcom;fluchtling,  ort;0.9991915925626516
refugeeswelcom;fluchtling,  spend;0.9991915925626516
refugeeswelcom;fluchtling,  syri;0.9991915925626516
refugeeswelcom;helf;0.9991915925626516
refugeeswelcom;helf,  ort;0.9991915925626516
refugeeswelcom;helf,  spend;0.9991915925626516
refugeeswelcom;helf,  syri;0.9991915925626516
refugeeswelcom;ort;0.9991915925626516
refugeeswelcom;ort,  spend;0.9991915925626516
refugeeswelcom;ort,  syri;0.9991915925626516
refugeeswelcom;spend;0.9991915925626516
refugeeswelcom;spend,  syri;0.9991915925626516
refugeeswelcom;syri;1.0
helf,  syri;direkt;0.657158681805594
helf,  spend;direkt;0.6660117878192534
spend,  syri;direkt;0.6701030927835051
ort,  syri;direkt;0.6710024035062915
helf,  ort;direkt;0.6720963172804533
ort,  spend;direkt;0.6734317343173432
https,  syri;ort;0.6966216216216217
https,  syri;helf;0.6989864864864865
https,  syri;spend;0.6996621621621621
https,  syri;fluchtling;0.7148648648648649
bundestag,  einsatz;syri;0.7740440324449595
fluchtling,  syri;ort;0.7960039467192896
fluchtling,  syri;spend;0.7964972866304884
fluchtling,  syri;helf;0.8001973359644795
direkt,  syri;fluchtling;0.8584089035449299
